X--Trace 1::[V(5) - V(4) | V(PR1)],Y--Trace 1::[V(5) - V(4) | V(PR1)],,X--Trace 2::[V(1) | V(PR2)],Y--Trace 2::[V(1) | V(PR2)]
2.31901e-06,10.5644,,2.31901e-06,5
2.32901e-06,10.5651,,2.32901e-06,5
2.33901e-06,10.5657,,2.33901e-06,5
2.34901e-06,10.5663,,2.34901e-06,5
2.35901e-06,10.5668,,2.35901e-06,5
2.36901e-06,10.5674,,2.36901e-06,5
2.37901e-06,10.5678,,2.37901e-06,5
2.38901e-06,10.5683,,2.38901e-06,5
2.39901e-06,10.5687,,2.39901e-06,5
2.40901e-06,10.5691,,2.40901e-06,5
2.41901e-06,10.5694,,2.41901e-06,5
2.42901e-06,10.5698,,2.42901e-06,5
2.43901e-06,10.5701,,2.43901e-06,5
2.44901e-06,10.5704,,2.44901e-06,5
2.45901e-06,10.5706,,2.45901e-06,5
2.46901e-06,10.5709,,2.46901e-06,5
2.47901e-06,10.5711,,2.47901e-06,5
2.48901e-06,10.5714,,2.48901e-06,5
2.49901e-06,10.5716,,2.49901e-06,5
2.50901e-06,10.5718,,2.50901e-06,5
2.51901e-06,10.5719,,2.51901e-06,5
2.52901e-06,10.5721,,2.52901e-06,5
2.53901e-06,10.5723,,2.53901e-06,5
2.54901e-06,10.5724,,2.54901e-06,5
2.55901e-06,10.5726,,2.55901e-06,5
2.56901e-06,10.5727,,2.56901e-06,5
2.57901e-06,10.5728,,2.57901e-06,5
2.58901e-06,10.573,,2.58901e-06,5
2.59901e-06,10.5731,,2.59901e-06,5
2.60901e-06,10.5732,,2.60901e-06,5
2.61901e-06,10.5733,,2.61901e-06,5
2.62901e-06,10.5734,,2.62901e-06,5
2.63901e-06,10.5735,,2.63901e-06,5
2.64901e-06,10.5736,,2.64901e-06,5
2.65901e-06,10.5736,,2.65901e-06,5
2.66901e-06,10.5737,,2.66901e-06,5
2.67901e-06,10.5738,,2.67901e-06,5
2.68901e-06,10.5738,,2.68901e-06,5
2.69901e-06,10.5739,,2.69901e-06,5
2.70901e-06,10.574,,2.70901e-06,5
2.71901e-06,10.574,,2.71901e-06,5
2.72901e-06,10.5741,,2.72901e-06,5
2.73901e-06,10.5741,,2.73901e-06,5
2.74901e-06,10.5742,,2.74901e-06,5
2.75901e-06,10.5742,,2.75901e-06,5
2.76901e-06,10.5743,,2.76901e-06,5
2.77901e-06,10.5743,,2.77901e-06,5
2.78901e-06,10.5743,,2.78901e-06,5
2.79901e-06,10.5744,,2.79901e-06,5
2.80901e-06,10.5744,,2.80901e-06,5
2.81901e-06,10.5744,,2.81901e-06,5
2.82901e-06,10.5745,,2.82901e-06,5
2.83901e-06,10.5745,,2.83901e-06,5
2.84901e-06,10.5745,,2.84901e-06,5
2.85901e-06,10.5746,,2.85901e-06,5
2.86901e-06,10.5746,,2.86901e-06,5
2.87901e-06,10.5746,,2.87901e-06,5
2.88901e-06,10.5746,,2.88901e-06,5
2.89901e-06,10.5746,,2.89901e-06,5
2.90901e-06,10.5747,,2.90901e-06,5
2.91901e-06,10.5747,,2.91901e-06,5
2.92901e-06,10.5747,,2.92901e-06,5
2.93901e-06,10.5747,,2.93901e-06,5
2.94901e-06,10.5747,,2.94901e-06,5
2.95901e-06,10.5747,,2.95901e-06,5
2.96901e-06,10.5748,,2.96901e-06,5
2.97901e-06,10.5748,,2.97901e-06,5
2.98901e-06,10.5748,,2.98901e-06,5
2.99901e-06,10.5748,,2.99901e-06,5
3.00901e-06,10.5748,,3.00901e-06,5
3.01901e-06,10.5748,,3.01901e-06,5
3.02901e-06,10.5748,,3.02901e-06,5
3.03901e-06,10.5748,,3.03901e-06,5
3.04901e-06,10.5749,,3.04901e-06,5
3.05901e-06,10.5749,,3.05901e-06,5
3.06901e-06,10.5749,,3.06901e-06,5
3.07901e-06,10.5749,,3.07901e-06,5
3.08901e-06,10.5749,,3.08901e-06,5
3.09901e-06,10.5749,,3.09901e-06,5
3.10901e-06,10.5749,,3.10901e-06,5
3.11901e-06,10.5749,,3.11901e-06,5
3.12901e-06,10.5749,,3.12901e-06,5
3.13901e-06,10.5749,,3.13901e-06,5
3.14901e-06,10.5749,,3.14901e-06,5
3.15901e-06,10.5749,,3.15901e-06,5
3.16901e-06,10.5749,,3.16901e-06,5
3.17901e-06,10.5749,,3.17901e-06,5
3.18901e-06,10.5749,,3.18901e-06,5
3.19901e-06,10.575,,3.19901e-06,5
3.20901e-06,10.575,,3.20901e-06,5
3.21901e-06,10.575,,3.21901e-06,5
3.22901e-06,10.575,,3.22901e-06,5
3.23901e-06,10.575,,3.23901e-06,5
3.24901e-06,10.575,,3.24901e-06,5
3.25901e-06,10.575,,3.25901e-06,5
3.26901e-06,10.575,,3.26901e-06,5
3.27901e-06,10.575,,3.27901e-06,5
3.28901e-06,10.575,,3.28901e-06,5
3.29901e-06,10.575,,3.29901e-06,5
3.30901e-06,10.575,,3.30901e-06,5
3.31901e-06,10.575,,3.31901e-06,5
3.32901e-06,10.575,,3.32901e-06,5
3.33901e-06,10.575,,3.33901e-06,5
3.34901e-06,10.575,,3.34901e-06,5
3.35901e-06,10.575,,3.35901e-06,5
3.36901e-06,10.575,,3.36901e-06,5
3.37901e-06,10.575,,3.37901e-06,5
3.38901e-06,10.575,,3.38901e-06,5
3.39901e-06,10.575,,3.39901e-06,5
3.40901e-06,10.575,,3.40901e-06,5
3.41901e-06,10.575,,3.41901e-06,5
3.42901e-06,10.575,,3.42901e-06,5
3.43901e-06,10.575,,3.43901e-06,5
3.44901e-06,10.575,,3.44901e-06,5
3.45901e-06,10.575,,3.45901e-06,5
3.46901e-06,10.575,,3.46901e-06,5
3.47901e-06,10.575,,3.47901e-06,5
3.48901e-06,10.575,,3.48901e-06,5
3.49901e-06,10.575,,3.49901e-06,5
3.50901e-06,10.575,,3.50901e-06,5
3.51901e-06,10.575,,3.51901e-06,5
3.52901e-06,10.575,,3.52901e-06,5
3.53901e-06,10.575,,3.53901e-06,5
3.54901e-06,10.575,,3.54901e-06,5
3.55901e-06,10.575,,3.55901e-06,5
3.56901e-06,10.575,,3.56901e-06,5
3.57901e-06,10.575,,3.57901e-06,5
3.58901e-06,10.575,,3.58901e-06,5
3.59901e-06,10.575,,3.59901e-06,5
3.60901e-06,10.575,,3.60901e-06,5
3.61901e-06,10.575,,3.61901e-06,5
3.62901e-06,10.575,,3.62901e-06,5
3.63901e-06,10.575,,3.63901e-06,5
3.64901e-06,10.5751,,3.64901e-06,5
3.65901e-06,10.5751,,3.65901e-06,5
3.66901e-06,10.5751,,3.66901e-06,5
3.67901e-06,10.5751,,3.67901e-06,5
3.68901e-06,10.5751,,3.68901e-06,5
3.69901e-06,10.5751,,3.69901e-06,5
3.70901e-06,10.5751,,3.70901e-06,5
3.71901e-06,10.5751,,3.71901e-06,5
3.72901e-06,10.5751,,3.72901e-06,5
3.73901e-06,10.5751,,3.73901e-06,5
3.74901e-06,10.5751,,3.74901e-06,5
3.75901e-06,10.5751,,3.75901e-06,5
3.76901e-06,10.5751,,3.76901e-06,5
3.77901e-06,10.5751,,3.77901e-06,5
3.78851e-06,10.5751,,3.78851e-06,5
3.79851e-06,10.5751,,3.79851e-06,5
3.80851e-06,10.5751,,3.80851e-06,5
3.81851e-06,10.5751,,3.81851e-06,5
3.82851e-06,10.5751,,3.82851e-06,5
3.83851e-06,10.5751,,3.83851e-06,5
3.84851e-06,10.5751,,3.84851e-06,5
3.85851e-06,10.5751,,3.85851e-06,5
3.86851e-06,10.5751,,3.86851e-06,5
3.87851e-06,10.5751,,3.87851e-06,5
3.88851e-06,10.5751,,3.88851e-06,5
3.89851e-06,10.5751,,3.89851e-06,5
3.90851e-06,10.5751,,3.90851e-06,5
3.91851e-06,10.5751,,3.91851e-06,5
3.92851e-06,10.5751,,3.92851e-06,5
3.93851e-06,10.5751,,3.93851e-06,5
3.94851e-06,10.5751,,3.94851e-06,5
3.95851e-06,10.5751,,3.95851e-06,5
3.96851e-06,10.5751,,3.96851e-06,5
3.97851e-06,10.5751,,3.97851e-06,5
3.98851e-06,10.5751,,3.98851e-06,5
3.99851e-06,10.5751,,3.99851e-06,5
4e-06,10.5751,,4e-06,5
